,City,Zipcode,Price,Beds,Bath,SQFT,School_rating,WalkScore,Bike_Score,TransitScore,Garage_availability,County
560,Yountville,94599,2700000,3,2,2490.0,4.3,70,65,41,Yes,Napa County
561,St. Helena,94574,5750000,5,4,4100.0,5.6,15,28,41,Yes,Napa County
562,American Canyon,94503,949000,5,3,3681.0,5.7,11,34,41,Yes,Napa County
563,American Canyon,94503,739000,3,2,1464.0,5.3,22,19,41,Yes,Napa County
564,American Canyon,94503,165000,2,2,1080.0,5.7,48,56,41,No,Napa County
565,Napa,94558,300000,2,2,1040.0,4.7,11,53,22,No,Napa County
566,St. Helena,94574,395000,2,2,1440.0,5.6,20,65,41,No,Napa County
567,Napa,94558,274900,3,2,979.0,4.7,11,53,22,No,Napa County
568,St. Helena,94574,5950000,3,2,2336.0,5.6,7,26,41,No,Napa County
569,St. Helena,94574,2500000,3,2,2109.0,5.6,71,92,41,Yes,Napa County
570,Napa,94558,349900,2,2,1248.0,4.7,22,57,23,No,Napa County
571,St. Helena,94574,2200000,4,3,2136.0,5.6,35,75,41,Yes,Napa County
572,St. Helena,94574,415000,2,2,1584.0,5.6,28,61,41,No,Napa County
573,Napa,94558,22000000,7,8,7766.0,4.7,1,9,41,Yes,Napa County
574,Napa,94558,579000,2,2,1376.0,4.0,39,36,24,Yes,Napa County
575,American Canyon,94503,125000,2,1,672.0,5.7,48,56,41,No,Napa County
576,Napa,94558,1695000,4,3,3455.0,4.3,47,50,28,Yes,Napa County
577,Napa,94558,3899000,3,2,4182.0,5.0,1,2,11,Yes,Napa County
578,Napa,94559,950000,3,2,1315.0,4.3,67,74,36,Yes,Napa County
579,Napa,94558,859000,3,2,1557.0,4.7,44,44,29,Yes,Napa County
580,Napa,94558,760000,3,2,1261.0,4.7,60,73,32,Yes,Napa County
581,Napa,94558,27000,3,2,2089.0174545454547,5.0,6,2,41,No,Napa County
582,Napa,94559,1295000,5,3,3072.0,4.3,0,30,41,Yes,Napa County
583,Napa,94559,1410000,3,2,2201.0,3.3,29,15,22,Yes,Napa County
584,Napa,94559,1180000,3,2,1483.0,4.0,74,87,26,Yes,Napa County
585,Napa,94559,599000,3,2,1308.0,3.7,70,64,28,Yes,Napa County
586,Napa,94558,1335000,4,3,2050.0,4.3,6,23,0,Yes,Napa County
587,Napa,94558,779000,4,2,1484.0,3.3,56,73,30,Yes,Napa County
588,St. Helena,94574,2499000,3,3,1691.0,5.6,2,4,41,No,Napa County
589,Napa,94558,1595000,3,3,2168.0,5.0,11,20,41,Yes,Napa County
590,Napa,94558,750000,3,2,2089.0174545454547,4.3,28,48,0,No,Napa County
