,City,Zipcode,Price,Beds,Bath,SQFT,School_rating,WalkScore,Bike_Score,TransitScore,Garage_availability,County
1048,SAN JOSE,95125,1998000,4,2,2234.0,5.6,63,75,46,Yes,Santa Clara County
1049,PALO ALTO,94306,1690000,1,1,672.0,8.0,81,99,43,Yes,Santa Clara County
1050,SANTA CLARA,95051,799999,2,2,1041.0,7.0,72,70,40,Yes,Santa Clara County
1051,SAN JOSE,95135,879900,2,2,1509.0,8.2,0,11,0,Yes,Santa Clara County
1052,SUNNYVALE,94089,1350000,3,2,1108.0,5.7,68,87,43,Yes,Santa Clara County
1053,SAN JOSE,95125,1698000,3,2,1408.0,6.3,48,69,38,Yes,Santa Clara County
1054,SAN JOSE,95121,865000,3,2,1508.0,6.0,38,57,37,Yes,Santa Clara County
1055,SUNNYVALE,94089,395000,3,2,1643.0,7.0,52,74,45,No,Santa Clara County
1056,Sunnyvale,94085,1338888,3,1,1315.0,4.7,64,74,42,Yes,Santa Clara County
1057,SAN JOSE,95120,1199000,3,2,1354.0,8.3,62,63,27,Yes,Santa Clara County
1058,SUNNYVALE,94085,489900,3,1,1800.0,5.0,31,60,45,No,Santa Clara County
1059,SANTA CLARA,95051,690000,3,2,974.0,6.3,34,71,35,No,Santa Clara County
1060,CAMPBELL,95008,1798000,4,2,1785.0,6.7,65,74,37,Yes,Santa Clara County
1061,SAN JOSE,95110,839999,3,1,1148.0,4.5,69,61,47,Yes,Santa Clara County
1062,CAMPBELL,95008,1569950,3,2,1728.0,7.5,29,62,27,Yes,Santa Clara County
1063,CAMPBELL,95008,1798000,3,2,1248.0,6.3,50,77,38,Yes,Santa Clara County
1064,San Jose,95132,1388000,3,2,1634.0,6.7,77,59,39,Yes,Santa Clara County
1065,SAN JOSE,95125,1175000,2,2,1641.0,6.3,70,76,41,Yes,Santa Clara County
1066,SAN JOSE,95111,1067888,3,2,1593.0,3.0,70,67,44,Yes,Santa Clara County
1067,San Jose,95148,1170000,3,2,1040.0,6.2,23,55,30,Yes,Santa Clara County
1068,MOUNTAIN VIEW,94043,1998000,4,3,2498.0,7.7,78,99,32,Yes,Santa Clara County
1069,SUNNYVALE,94085,1488888,3,3,1743.0,6.3,60,81,31,Yes,Santa Clara County
1070,SAN JOSE,95136,1549000,5,3,2236.0,3.7,44,70,47,Yes,Santa Clara County
1071,MOUNTAIN VIEW,94040,190000,2,1,900.0,8.0,76,92,39,No,Santa Clara County
1072,CAMPBELL,95008,625000,1,1,895.0,7.3,82,82,46,Yes,Santa Clara County
1073,SAN JOSE,95122,538888,2,1,953.0,4.0,39,58,41,Yes,Santa Clara County
1074,SUNNYVALE,94089,430000,3,2,1620.0,7.0,51,85,47,No,Santa Clara County
1075,MILPITAS,95035,848888,3,2,1174.0,8.3,25,56,37,No,Santa Clara County
1076,LOS ALTOS HILLS,94022,7198000,4,4,4831.0,8.3,0,13,41,Yes,Santa Clara County
1077,SAN JOSE,95123,1150000,3,2,1593.0,5.0,59,57,17,Yes,Santa Clara County
1078,SAN JOSE,95112,849000,2,1,878.0,3.8,52,78,48,Yes,Santa Clara County
1079,Gilroy,95020,818000,3,2,1080.0,3.7,60,72,41,Yes,Santa Clara County
1080,SAN JOSE,95123,1650000,5,4,2427.0,6.3,45,61,43,Yes,Santa Clara County
1081,Milpitas,95035,1249999,2,2,1459.0,8.3,60,76,38,Yes,Santa Clara County
1082,PALO ALTO,94301,998000,2,1,776.0,8.0,90,100,58,Yes,Santa Clara County
1083,PALO ALTO,94303,2850000,4,2,1607.0,8.0,61,81,27,No,Santa Clara County
1084,LOS GATOS,95032,2948000,6,4,3144.0,7.8,39,44,41,Yes,Santa Clara County
1085,SAN JOSE,95125,2599000,4,2,2884.0,5.7,64,73,40,Yes,Santa Clara County
1086,SARATOGA,95070,2998000,3,3,3134.0,9.2,0,49,41,Yes,Santa Clara County
1087,SAN JOSE,95123,525888,2,1,959.0,5.5,58,52,46,No,Santa Clara County
1088,MILPITAS,95035,775000,2,2,1146.0,7.3,80,82,61,Yes,Santa Clara County
1089,LOS GATOS,95033,995000,2,1,1229.0,8.4,14,9,41,Yes,Santa Clara County
1090,MOUNTAIN VIEW,94043,578000,1,1,720.0,7.0,77,97,49,Yes,Santa Clara County
1091,MORGAN HILL,95037,1799950,3,2,2909.0,5.3,0,13,41,Yes,Santa Clara County
1092,LOS ALTOS HILLS,94024,4995000,4,3,2591.0,9.0,1,10,41,Yes,Santa Clara County
1093,LOS GATOS,95032,1750000,3,3,2122.0,8.6,42,57,41,Yes,Santa Clara County
1094,San Jose,95127,1598000,4,3,2216.0,3.3,12,6,41,Yes,Santa Clara County
1095,SAN JOSE,95117,2199000,4,2,2317.0,6.3,52,64,40,Yes,Santa Clara County
1096,SAN JOSE,95128,1399000,4,3,1789.0,4.7,75,66,50,Yes,Santa Clara County
1097,SAN JOSE,95123,1258000,4,2,1345.0,6.3,58,61,45,Yes,Santa Clara County
1098,SAN JOSE,95128,859000,2,2,1022.0,5.3,80,68,41,Yes,Santa Clara County
1099,GILROY,95020,1475000,5,3,2771.0,4.7,5,44,41,Yes,Santa Clara County
1100,Milpitas,95035,1299900,3,3,1550.0,8.0,44,56,33,Yes,Santa Clara County
1101,SANTA CLARA,95050,899000,3,2,1163.0,5.7,75,83,43,Yes,Santa Clara County
1102,SAN JOSE,95125,1799000,3,2,1584.0,5.7,71,76,37,Yes,Santa Clara County
1103,SAN JOSE,95120,1250000,3,2,1470.0,8.0,22,52,19,Yes,Santa Clara County
1104,SAN JOSE,95125,1699000,3,2,1632.0,6.3,70,69,28,Yes,Santa Clara County
1105,SAN JOSE,95127,1395888,4,2,2293.0,4.0,8,13,0,Yes,Santa Clara County
1106,SAN JOSE,95136,775000,2,2,1067.0,3.7,37,51,43,Yes,Santa Clara County
1107,SAN JOSE,95110,758888,1,1,953.0,4.3,88,90,73,Yes,Santa Clara County
1108,Vallejo,94589,220000,1,1,706.0,2.5,33,14,34,No,Solano County
1109,Vallejo,94591,550000,3,2,1918.0,4.0,58,21,25,Yes,Solano County
1110,Vacaville,95688,499900,2,1,780.0,5.8,85,51,29,Yes,Solano County
1111,Vacaville,95687,499900,3,2,1313.0,5.5,28,61,24,Yes,Solano County
1112,Fairfield,94534,695000,3,2,1651.0,5.2,24,41,30,Yes,Solano County
1113,Vacaville,95688,1500000,5,3,3886.0,5.7,0,9,41,Yes,Solano County
1114,Fairfield,94533,559900,3,2,1287.0,3.0,52,50,26,Yes,Solano County
1115,Vallejo,94590,550000,4,2,1814.0,5.6,90,59,47,Yes,Solano County
1116,Vallejo,94590,650000,5,2,2119.0,5.6,80,63,38,Yes,Solano County
1117,Vallejo,94591,340000,1,1,665.0,5.6,4,23,20,Yes,Solano County
1118,Fairfield,94533,325000,2,1,825.0,3.0,67,47,29,No,Solano County
1119,Vacaville,95687,559000,3,2,1547.0,5.0,27,40,12,Yes,Solano County
1120,Fairfield,94533,490000,3,1,1220.0,3.7,79,61,33,Yes,Solano County
1121,Vacaville,95688,739900,4,3,2380.0,5.8,37,8,20,Yes,Solano County
1122,Fairfield,94533,715455,5,3,2471.0,6.3,10,37,17,Yes,Solano County
1123,Fairfield,94533,515000,3,2,1198.0,3.3,5,32,0,Yes,Solano County
1124,Vallejo,94591,625000,4,2,1845.0,4.0,50,17,28,Yes,Solano County
1125,Vallejo,94589,325000,2,1,1100.0,2.5,46,22,36,Yes,Solano County
1126,Fairfield,94534,520000,2,1,1072.0,7.7,11,44,25,Yes,Solano County
1127,Suisun City,94585,569999,4,2,1569.0,4.0,27,50,41,Yes,Solano County
1128,VACAVILLE,95688,499999,3,2,1600.0,5.2,67,61,29,Yes,Solano County
1129,Vallejo,94591,720000,3,2,1639.0,5.6,31,16,41,Yes,Solano County
1130,Vallejo,94590,799000,2,1,1130.0,5.6,25,8,23,Yes,Solano County
1131,Vacaville,95688,750000,5,2,2548.0,5.7,21,40,16,Yes,Solano County
1132,Rio Vista,94571,495000,2,2,2031.0,5.0,2,25,41,Yes,Solano County
1133,Fairfield,94534,799900,4,3,2356.0,7.7,22,42,19,Yes,Solano County
1134,Dixon,95620,669000,3,3,1759.0,5.3,33,34,41,Yes,Solano County
1135,Vallejo,94590,526000,3,2,931.0,5.6,80,61,38,No,Solano County
1136,Benicia,94510,405000,2,1,1087.0,6.3,36,30,41,No,Solano County
1137,Vacaville,95687,332500,2,1,860.0,4.5,71,49,26,Yes,Solano County
1138,Vacaville,95687,599000,4,2,1952.0,6.3,30,33,23,Yes,Solano County
1139,Vacaville,95687,509990,3,2,1370.0,5.5,48,65,25,Yes,Solano County
1140,Vacaville,95687,629900,3,3,1951.0,6.0,7,28,12,Yes,Solano County
1141,Fairfield,94533,220000,3,2,1440.0,3.3,22,34,0,No,Solano County
1142,Vallejo,94591,925000,4,3,2830.0,5.6,19,28,0,Yes,Solano County
1143,Dixon,95620,480000,3,2,1318.0,5.3,68,48,41,Yes,Solano County
1144,Fairfield,94533,689835,4,3,2168.0,6.3,10,37,17,Yes,Solano County
1145,Fairfield,94533,699900,4,2,2430.0,6.3,1,34,0,Yes,Solano County
1146,Vallejo,94589,599900,3,2,1690.0,5.6,11,27,24,Yes,Solano County
1147,VALLEJO,94591,847140,5,3,2846.0,5.6,54,34,20,Yes,Solano County
1148,Dixon,95620,719888,4,2,2509.0,4.3,46,49,41,Yes,Solano County
1149,Vallejo,94591,539900,3,2,1516.0,3.7,43,19,27,Yes,Solano County
1150,Fairfield,94533,530000,3,2,1524.0,3.7,84,59,33,Yes,Solano County
1151,Rio Vista,94571,435000,2,2,1439.0,5.0,2,25,41,Yes,Solano County
1152,Vacaville,95688,549000,3,2,1294.0,5.2,54,58,26,Yes,Solano County
1153,Suisun City,94585,599000,4,2,1916.0,3.3,18,32,41,Yes,Solano County
1154,Vallejo,94592,788000,4,2,2746.0,5.6,30,30,31,Yes,Solano County
1155,Benicia,94510,1295000,4,3,2424.0,6.3,75,51,41,Yes,Solano County
1156,Vallejo,94589,539900,3,2,1104.0,5.6,59,42,29,Yes,Solano County
1157,Vacaville,95687,189900,2,2,1440.0,5.6,66,67,24,No,Solano County
1158,Vallejo,94589,520000,3,2,1394.0,2.5,60,28,31,Yes,Solano County
1159,Vallejo,94591,549000,3,2,1355.0,5.6,19,14,24,Yes,Solano County
1160,Fairfield,94533,599000,4,2,1920.0,6.3,5,35,0,Yes,Solano County
1161,Vacaville,95687,629900,4,2,1952.0,6.3,33,34,23,Yes,Solano County
1162,Rio Vista,94571,599000,2,2,1837.0,5.0,0,28,41,Yes,Solano County
1163,Vacaville,95687,75000,2,1,720.0,4.5,59,61,23,No,Solano County
1164,Benicia,94510,625000,2,2,1055.0,6.3,14,25,41,Yes,Solano County
1165,Vacaville,95687,550000,3,2,1607.0,6.0,29,33,21,Yes,Solano County
1166,Vallejo,94590,539900,3,2,1533.0,2.7,51,46,30,Yes,Solano County
1167,Vacaville,95687,575000,4,2,1430.0,5.0,48,36,23,Yes,Solano County
1168,Benicia,94510,265000,3,2,1440.0,6.3,75,63,41,No,Solano County
1169,Fairfield,94533,667800,4,3,2030.0,6.3,16,37,17,Yes,Solano County
1170,Dixon,95620,768950,3,2,2629.0,5.3,26,28,41,Yes,Solano County
1171,Vallejo,94590,529000,3,2,1504.0,2.7,74,45,32,Yes,Solano County
1172,Suisun City,94585,549000,4,2,1532.0,4.0,15,41,41,Yes,Solano County
1173,Rio Vista,94571,665000,2,2,2204.0,5.0,6,25,41,Yes,Solano County
1174,Fairfield,94534,1595000,3,3,3787.0,7.7,10,7,41,Yes,Solano County
1175,Vacaville,95687,425000,2,2,1152.0,5.5,15,54,22,Yes,Solano County
1176,FAIRFIELD,94534,989000,5,3,3415.0,6.7,12,37,12,Yes,Solano County
1177,Vallejo,94589,469000,3,2,1358.0,5.6,21,25,28,Yes,Solano County
1178,Fairfield,94533,680620,4,3,2168.0,6.3,10,37,17,Yes,Solano County
1179,Benicia,94510,818000,3,2,1365.0,6.3,57,18,41,Yes,Solano County
1180,Fairfield,94533,721515,5,3,2471.0,6.3,10,37,17,Yes,Solano County
1181,Fairfield,94533,525000,4,2,1563.0,3.0,54,59,30,Yes,Solano County
1182,Vacaville,95687,639000,4,2,1967.0,5.0,36,37,21,Yes,Solano County
1183,Vacaville,95687,645990,4,3,1998.0,5.6,3,36,10,Yes,Solano County
1184,Vacaville,95688,618000,4,2,1482.0,5.8,60,30,23,Yes,Solano County
1185,Benicia,94510,159900,2,2,1536.0,6.3,75,63,41,No,Solano County
1186,Davis,95616,87000,2,1,780.0,6.0,40,80,41,No,Solano County
1187,Vacaville,95687,515000,3,2,1671.0,6.3,49,37,24,Yes,Solano County
1188,Fairfield,94533,549500,3,2,1900.0,3.3,61,59,27,Yes,Solano County
1189,Benicia,94510,650000,3,2,1630.0,6.3,59,17,41,Yes,Solano County
1190,Suisun City,94585,628000,4,3,2216.0,3.3,7,40,41,Yes,Solano County
1191,Fairfield,94533,649990,3,2,1701.0,4.0,8,31,0,Yes,Solano County
1192,Suisun City,94585,565000,4,2,1890.0,3.7,38,49,41,Yes,Solano County
1193,Vacaville,95687,485000,3,2,1247.0,4.5,57,58,20,Yes,Solano County
1194,Vacaville,95688,995000,6,4,3262.0,5.7,16,6,15,Yes,Solano County
1195,Vacaville,95687,595000,4,2,1830.0,5.0,19,31,12,Yes,Solano County
1196,Benicia,94510,997000,4,3,2216.0,6.3,8,6,41,Yes,Solano County
1197,Vallejo,94591,775000,4,3,2362.0,3.7,11,9,22,Yes,Solano County
1198,Fairfield,94533,395000,4,2,1349.0,3.0,32,39,30,Yes,Solano County
1199,Rio Vista,94571,591900,3,3,2395.0,5.0,0,32,41,Yes,Solano County
1200,Fairfield,94533,489888,3,2,980.0,3.7,77,61,32,No,Solano County
1201,VACAVILLE,95688,706580,4,3,1942.0,5.2,37,48,22,Yes,Solano County
1202,Davis,95616,60000,3,1,640.0,6.0,53,88,41,No,Solano County
1203,Vacaville,95688,769000,4,3,2403.0,5.7,16,27,14,Yes,Solano County
1204,FAIRFIELD,94533,749900,4,3,2415.0,6.3,0,49,0,Yes,Solano County
1205,Fairfield,94533,555000,3,2,1635.0,3.7,44,48,36,Yes,Solano County
1206,Fairfield,94533,666340,4,3,2030.0,6.3,10,37,17,Yes,Solano County
1207,Vacaville,95687,530000,2,2,1345.0,5.5,25,49,16,Yes,Solano County
1208,Vacaville,95687,635000,3,2,1633.0,6.0,8,28,12,Yes,Solano County
1209,Vacaville,95688,695000,4,1,1116.0,5.7,7,29,41,No,Solano County
1210,Rio Vista,94571,435000,2,2,1475.0,5.0,8,25,41,Yes,Solano County
1211,Vallejo,94591,511000,2,2,1167.0,4.0,32,29,21,Yes,Solano County
1212,Vacaville,95687,623700,2,2,1744.0,5.5,30,52,24,Yes,Solano County
1213,Vacaville,95687,725000,3,2,1835.0,5.0,8,26,6,Yes,Solano County
1214,Vallejo,94590,439000,4,2,1702.0,5.6,56,47,32,No,Solano County
1215,Vallejo,94591,599999,3,2,1519.0,5.6,36,15,41,Yes,Solano County
1216,Vallejo,94590,639900,4,2,2694.0,2.7,68,44,31,Yes,Solano County
1217,Vallejo,94591,230000,3,2,8712.0,5.6,41,26,41,No,Solano County
1218,Vacaville,95687,519000,3,1,960.0,4.5,45,59,22,Yes,Solano County
1219,Vallejo,94591,694000,4,3,2296.0,4.0,61,40,27,Yes,Solano County
1220,Vacaville,95687,585000,4,2,1290.0,6.0,20,31,22,Yes,Solano County
1221,Vacaville,95687,510000,2,2,1323.0,5.5,29,50,22,Yes,Solano County
1222,Fairfield,94533,700000,4,2,2654.0,3.3,46,43,26,Yes,Solano County
1223,Vallejo,94590,579000,2,1,952.0,5.6,67,50,41,No,Solano County
1224,Vallejo,94591,439950,3,1,1008.0,3.7,72,51,28,Yes,Solano County
1225,Vacaville,95688,780000,4,3,2745.0,5.0,9,32,14,Yes,Solano County
1226,Vallejo,94590,785000,3,2,1670.0,3.0,57,27,34,Yes,Solano County
1227,Rio Vista,94571,509900,3,2,1837.0,5.0,0,33,41,Yes,Solano County
1228,Vacaville,95687,604000,3,2,1767.0,5.5,10,50,18,Yes,Solano County
1229,Vallejo,94591,839000,4,3,2652.0,5.6,21,21,0,Yes,Solano County
1230,Vallejo,94591,650000,3,2,2185.0,4.0,11,26,23,Yes,Solano County
1231,Rio Vista,94571,699800,5,2,2566.0,5.0,56,42,41,Yes,Solano County
1232,Vallejo,94590,488000,4,2,1222.0,5.6,66,58,32,Yes,Solano County
1233,Fairfield,94533,687260,4,3,2168.0,6.3,10,37,17,Yes,Solano County
1234,Vacaville,95688,925000,3,2,1640.0,5.0,0,33,41,Yes,Solano County
1235,Vacaville,95687,629950,2,2,1659.0,5.0,17,33,12,Yes,Solano County
1236,Vacaville,95688,998888,5,2,3482.0,5.7,5,7,22,Yes,Solano County
1237,Vacaville,95687,394000,2,2,1152.0,5.5,25,47,15,Yes,Solano County
1238,Fairfield,94534,915000,4,3,2905.0,7.7,11,12,29,Yes,Solano County
1239,Suisun City,94585,475000,3,2,1560.0,3.7,25,36,41,Yes,Solano County
1240,Vallejo,94591,869000,4,3,2120.0,3.7,1,3,21,Yes,Solano County
1241,Vacaville,95687,569950,3,2,1604.0,6.0,63,46,24,Yes,Solano County
1242,Vacaville,95688,615000,3,2,1428.0,5.8,83,51,28,Yes,Solano County
1243,Vacaville,95688,710000,4,3,1898.0,5.7,15,17,23,Yes,Solano County
1244,Rio Vista,94571,469000,2,2,1913.0,5.0,4,23,41,Yes,Solano County
1245,Vallejo,94589,449000,3,1,1332.0,2.5,61,39,32,Yes,Solano County
1246,Dixon,95620,560000,3,2,1688.0,4.3,58,47,41,Yes,Solano County
1247,Vallejo,94589,450000,3,2,1316.0,5.6,50,27,27,Yes,Solano County
1248,Fairfield,94533,725990,5,3,2311.0,4.0,5,36,0,Yes,Solano County
1249,Dixon,95620,899000,3,2,2089.0174545454547,4.3,0,38,41,No,Solano County
1250,Fairfield,94533,225000,2,1,805.0,3.0,33,46,28,No,Solano County
1251,VACAVILLE,95687,620000,4,3,1803.0,6.0,12,29,12,Yes,Solano County
1252,Fairfield,94533,499000,4,2,2180.0,3.3,55,60,29,Yes,Solano County
1253,Benicia,94510,825000,3,2,1442.0,6.3,63,52,41,Yes,Solano County
1254,Vacaville,95687,450000,3,1,1266.0,4.5,66,67,24,Yes,Solano County
1255,Vallejo,94590,309000,3,1,988.0,5.6,66,47,34,No,Solano County
1256,Benicia,94510,499000,3,1,1197.0,6.3,50,14,41,Yes,Solano County
1257,Vallejo,94591,568000,3,1,1132.0,3.7,72,50,28,Yes,Solano County
1258,Vallejo,94591,748888,4,3,2580.0,5.6,10,4,0,Yes,Solano County
1259,Vacaville,95687,540000,3,2,1479.0,4.5,58,69,23,Yes,Solano County
1260,Vallejo,94591,385000,2,2,1014.0,5.6,4,23,20,Yes,Solano County
1261,Dixon,95620,770000,5,4,2667.0,5.3,36,33,41,Yes,Solano County
1262,Vacaville,95688,494500,3,1,945.0,5.2,42,53,25,Yes,Solano County
1263,Fairfield,94534,864900,5,3,3450.0,5.2,40,25,22,Yes,Solano County
1264,Fairfield,94533,640000,4,3,2569.0,4.0,17,37,17,Yes,Solano County
1265,Vallejo,94591,799000,5,2,2491.0,3.7,55,27,27,Yes,Solano County
1266,Vallejo,94591,688000,3,2,1746.0,5.6,30,17,20,Yes,Solano County
1267,Vallejo,94591,599999,5,2,2319.0,3.7,61,50,27,Yes,Solano County
1268,Glen Ellen,95442,749000,4,2,1296.0,3.3,5,23,41,Yes,Sonoma County
1269,Petaluma,94952,1019990,4,3,2132.0,6.7,20,13,26,Yes,Sonoma County
1270,Monte Rio,95462,299000,2,1,1220.0,5.6,36,10,41,Yes,Sonoma County
1271,Santa Rosa,95403,699500,3,2,1404.0,5.6,29,35,41,Yes,Sonoma County
1272,Forestville,95436,295000,3,2,2089.0174545454547,5.6,1,6,41,No,Sonoma County
1273,Sonoma,95476,4695000,6,5,5438.0,3.3,7,8,41,Yes,Sonoma County
1274,Geyserville,95441,1625250,2,1,1047.0,5.6,0,49,41,Yes,Sonoma County
1275,Rohnert Park,94928,399000,2,2,878.0,3.8,23,58,41,No,Sonoma County
1276,Petaluma,94952,749500,3,2,1421.0,6.0,60,69,39,Yes,Sonoma County
1277,Santa Rosa,95403,1300000,5,4,2941.0,4.2,9,33,41,Yes,Sonoma County
1278,Santa Rosa,95409,999000,4,3,3218.0,6.5,55,32,23,Yes,Sonoma County
1279,Glen Ellen,95442,1995000,3,2,2510.0,3.3,28,28,41,Yes,Sonoma County
1280,Sebastopol,95472,1349000,4,3,2800.0,6.0,26,21,41,Yes,Sonoma County
1281,Santa Rosa,95401,299000,2,2,1440.0,5.6,15,54,27,No,Sonoma County
1282,Petaluma,94954,1030900,3,3,2077.0,4.5,52,66,25,Yes,Sonoma County
1283,Petaluma,94954,874950,3,2,1628.0,5.3,27,50,26,Yes,Sonoma County
1284,Healdsburg,95448,1795000,3,2,2067.0,5.3,8,3,41,Yes,Sonoma County
1285,Santa Rosa,95404,1499900,4,3,3317.0,4.3,2,5,13,Yes,Sonoma County
1286,Santa Rosa,95409,155000,2,2,1440.0,6.4,14,39,20,No,Sonoma County
1287,Glen Ellen,95442,3400000,4,4,3000.0,3.3,0,5,41,Yes,Sonoma County
1288,Sonoma,95476,825000,3,2,1135.0,3.3,37,53,41,Yes,Sonoma County
1289,Santa Rosa,95404,1077000,3,3,2392.0,6.2,42,30,26,Yes,Sonoma County
1290,The Sea Ranch,95497,1049000,2,2,1572.0,5.6,2,2,41,No,Sonoma County
1291,Santa Rosa,95409,156000,2,2,1000.0,6.2,59,48,24,No,Sonoma County
1292,Sonoma,95476,1829000,3,2,1890.0,3.3,93,63,41,Yes,Sonoma County
1293,Sebastopol,95472,1999950,3,4,3649.0,5.6,5,29,41,Yes,Sonoma County
1294,Sonoma,95476,1187000,3,1,2600.0,5.0,27,38,41,Yes,Sonoma County
1295,Healdsburg,95448,649000,2,2,1320.0,5.3,3,13,41,No,Sonoma County
1296,Sonoma,95476,619500,3,1,1000.0,4.3,48,42,41,Yes,Sonoma County
1297,Santa Rosa,95404,1800000,4,2,2839.0,4.3,83,69,28,No,Sonoma County
1298,Annapolis,95412,280000,3,2,2089.0174545454547,5.6,0,1,41,No,Sonoma County
1299,Sebastopol,95472,1069000,3,2,1771.0,6.2,58,48,41,Yes,Sonoma County
1300,Petaluma,94954,4795000,4,3,4200.0,6.3,6,11,41,Yes,Sonoma County
1301,Sonoma,95476,149000,2,1,800.0,3.3,25,47,41,No,Sonoma County
1302,Santa Rosa,95404,400000,2,1,911.0,3.0,73,60,42,No,Sonoma County
1303,Petaluma,94954,759850,4,2,1324.0,4.7,49,62,30,Yes,Sonoma County
1304,Sonoma,95476,3400000,3,2,2237.0,5.0,19,35,41,Yes,Sonoma County
1305,Petaluma,94952,1395000,4,1,1768.0,6.7,43,29,25,Yes,Sonoma County
1306,Santa Rosa,95401,670000,3,2,1474.0,5.6,50,54,20,Yes,Sonoma County
1307,Santa Rosa,95405,1195000,5,4,2657.0,4.0,52,54,21,Yes,Sonoma County
1308,Santa Rosa,95409,699000,2,2,1411.0,6.7,13,33,18,Yes,Sonoma County
1309,Santa Rosa,95409,689000,3,2,1955.0,7.2,19,26,18,Yes,Sonoma County
1310,Santa Rosa,95403,725000,2,2,1571.0,4.3,4,10,19,Yes,Sonoma County
1311,Windsor,95492,229000,2,2,2175.0,5.6,57,59,41,No,Sonoma County
1312,Santa Rosa,95407,499000,2,2,1242.0,5.6,63,77,29,Yes,Sonoma County
1313,Sonoma,95476,690000,1,1,1550.0,3.3,31,39,41,No,Sonoma County
1314,Santa Rosa,95401,1499000,2,3,2618.0,5.6,9,16,41,Yes,Sonoma County
1315,Santa Rosa,95403,775000,4,3,1928.0,3.0,27,36,21,Yes,Sonoma County
1316,Santa Rosa,95404,2100000,4,3,3196.0,4.3,1,9,13,Yes,Sonoma County
1317,The Sea Ranch,95480,8000000,5,3,4650.0,5.6,0,15,41,Yes,Sonoma County
1318,Windsor,95492,307500,3,2,1040.0,5.6,36,38,41,No,Sonoma County
1319,Santa Rosa,95404,725000,2,2,1460.0,5.2,54,18,41,Yes,Sonoma County
1320,Santa Rosa,95405,655000,3,1,915.0,4.0,83,70,29,Yes,Sonoma County
1321,Santa Rosa,95409,625000,2,2,1391.0,7.2,24,50,19,Yes,Sonoma County
1322,Santa Rosa,95404,669000,3,2,1277.0,3.0,41,37,24,Yes,Sonoma County
1323,Santa Rosa,95409,529000,2,2,1400.0,7.2,13,40,19,Yes,Sonoma County
1324,Sonoma,95476,699000,2,2,1650.0,5.0,6,36,41,Yes,Sonoma County
1325,Cotati,94931,2495000,4,3,3016.0,3.2,9,21,41,Yes,Sonoma County
1326,Santa Rosa,95403,665000,3,2,1293.0,2.3,52,48,23,Yes,Sonoma County
1327,Santa Rosa,95404,649000,2,1,653.0,5.2,0,6,41,Yes,Sonoma County
1328,Santa Rosa,95404,375000,3,2,2089.0174545454547,4.3,6,2,14,No,Sonoma County
1329,Petaluma,94954,799000,3,2,2072.0,5.8,56,57,28,Yes,Sonoma County
1330,Santa Rosa,95404,700000,3,2,2089.0174545454547,4.2,2,3,41,No,Sonoma County
1331,Petaluma,94954,749900,3,1,1036.0,5.8,78,85,35,Yes,Sonoma County
1332,Cloverdale,95425,90000,1,1,299.0,5.6,2,49,41,No,Sonoma County
1333,Sonoma,95476,479000,3,2,9696.0,5.0,48,53,41,No,Sonoma County
1334,Santa Rosa,95404,849000,3,2,2380.0,3.0,41,37,20,Yes,Sonoma County
1335,Santa Rosa,95401,850000,6,4,3612.0,3.0,81,73,39,No,Sonoma County
1336,Santa Rosa,95404,395000,2,1,864.0,3.0,60,54,28,No,Sonoma County
1337,Petaluma,94952,949000,2,2,1208.0,6.3,67,45,30,Yes,Sonoma County
1338,Santa Rosa,95407,515000,2,2,1210.0,5.6,63,77,29,Yes,Sonoma County
1339,Sonoma,95476,1575000,2,2,1469.0,3.3,5,36,41,Yes,Sonoma County
1340,Sebastopol,95472,349900,2,1,800.0,5.6,29,43,41,Yes,Sonoma County
1341,Santa Rosa,95409,1275000,8,4,2800.0,6.2,53,60,21,No,Sonoma County
1342,Bodega Bay,94923,1500000,3,2,1838.0,5.6,1,13,41,Yes,Sonoma County
1343,Monte Rio,95462,899000,2,2,1062.0,5.6,12,14,41,Yes,Sonoma County
1344,Santa Rosa,95409,675000,4,2,1516.0,6.2,37,61,22,Yes,Sonoma County
1345,Healdsburg,95448,599000,3,2,2089.0174545454547,5.3,0,20,41,No,Sonoma County
1346,Rohnert Park,94928,649950,4,2,1648.0,4.0,17,60,41,Yes,Sonoma County
1347,Santa Rosa,95401,649000,3,2,1508.0,3.0,77,71,39,Yes,Sonoma County
1348,Santa Rosa,95404,1235000,4,3,2657.0,4.3,41,30,22,Yes,Sonoma County
1349,Petaluma,94952,700000,2,2,1091.0,6.0,54,40,30,Yes,Sonoma County
1350,Windsor,95492,625000,2,2,1025.0,5.6,79,71,41,Yes,Sonoma County
1351,Petaluma,94952,1109990,5,3,2510.0,6.7,17,12,26,Yes,Sonoma County
1352,Petaluma,94952,1160000,4,2,1916.0,5.6,13,20,21,Yes,Sonoma County
1353,Healdsburg,95448,2498000,3,2,1316.0,5.3,6,1,41,Yes,Sonoma County
1354,Petaluma,94952,1695000,4,3,2288.0,6.0,31,15,26,Yes,Sonoma County
1355,Sonoma,95476,869000,3,2,1324.0,3.3,53,59,41,Yes,Sonoma County
1356,Santa Rosa,95404,274950,3,2,1128.0,2.8,66,55,31,No,Sonoma County
1357,Windsor,95492,803450,3,2,1785.0,5.6,63,48,41,Yes,Sonoma County
1358,Windsor,95492,799000,4,2,1912.0,5.6,23,51,41,Yes,Sonoma County
